Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
ITRI,"Itron, Inc.",64.95,$2.54B,1993.0,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/itri,
ITRN,Ituran Location and Control Ltd.,31.15,$653.16M,2005.0,Consumer Non-Durables,Electronic Components,https://www.nasdaq.com/symbol/itrn,
ITUS,ITUS Corporation,3.69,$61.37M,,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/itus,
IVENC,Ivy NextShares,100.02,,,,,https://www.nasdaq.com/symbol/ivenc,
IVFGC,Ivy NextShares,100.02,,,,,https://www.nasdaq.com/symbol/ivfgc,
IVFVC,Ivy NextShares,100.02,,,,,https://www.nasdaq.com/symbol/ivfvc,
IZEA,IZEA Inc.,2.25,$13.09M,,Consumer Services,Advertising,https://www.nasdaq.com/symbol/izea,
JJSF,J & J Snack Foods Corp.,132.7,$2.48B,1986.0,Consumer Non-Durables,Specialty Foods,https://www.nasdaq.com/symbol/jjsf,
MAYS,"J. W. Mays, Inc.",40.0,$80.63M,,Consumer Services,Building operators,https://www.nasdaq.com/symbol/mays,
JBHT,"J.B. Hunt Transport Services, Inc.",117.42,$12.89B,,Transportation,Trucking Freight/Courier Services,https://www.nasdaq.com/symbol/jbht,
JCOM,"j2 Global, Inc.",84.14,$4.13B,1999.0,Technology,Telecommunications Equipment,https://www.nasdaq.com/symbol/jcom,
JASO,"JA Solar Holdings, Co., Ltd.",7.0,$333.1M,2007.0,Technology,Semiconductors,https://www.nasdaq.com/symbol/jaso,
JKHY,"Jack Henry & Associates, Inc.",122.91,$9.5B,1985.0,Technology,EDP Services,https://www.nasdaq.com/symbol/jkhy,
JACK,Jack In The Box Inc.,88.31,$2.61B,,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/jack,
JXSB,Jacksonville Bancorp Inc.,33.5,$60.78M,,Finance,Savings Institutions,https://www.nasdaq.com/symbol/jxsb,
JAGX,"Jaguar Health, Inc.",0.1638,$28.01M,2015.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/jagx,
JAKK,"JAKKS Pacific, Inc.",2.4,$69.98M,1996.0,Consumer Non-Durables,Recreational Products/Toys,https://www.nasdaq.com/symbol/jakk,
